"2028.0","10.0","278.8639870920489"
"2066.0","2.0","278.9824752807617"
"2014.0","7.0","280.6273675733997"
"2037.0","9.0","280.2364501953125"
"2012.0","5.0","279.38020472372733"
"2034.0","3.0","277.824957078503"
"2018.0","7.0","280.5082751858619"
"1990.0","1.0","276.772453061996"
"2075.0","6.0","282.45510050455727"
"2068.0","1.0","279.3758288967994"
"2023.0","6.0","280.4945485432943"
"2052.0","3.0","278.2132794780116"
"2066.0","6.0","282.106000773112"
"2018.0","4.0","277.82855529785155"
"2039.0","7.0","281.4290249732233"
"1996.0","2.0","276.0497131347656"
"2017.0","11.0","278.4603729248047"
"2090.0","12.0","280.4962551978327"
"1993.0","5.0","278.2411636844758"
"2039.0","12.0","278.87762254284274"
"1999.0","2.0","276.45833914620533"
"2087.0","11.0","280.49810791015625"
"2057.0","6.0","281.52480163574216"
"2007.0","5.0","278.6195609800277"
"2024.0","7.0","280.6753412062122"
"2044.0","6.0","281.2897481282552"
"2086.0","11.0","280.42087605794273"
"2043.0","11.0","279.5717468261719"
"2043.0","6.0","281.2617421468099"
"2060.0","7.0","282.155511671497"
"2098.0","2.0","279.4092003958566"
"2066.0","3.0","279.3380422284526"
"2008.0","2.0","276.2215113146552"
"2033.0","1.0","278.74439657888104"
"2060.0","3.0","278.6659122590096"
"2060.0","2.0","278.5750058930496"
"2056.0","5.0","280.3162585842994"
"2097.0","7.0","282.58799891318046"
"2018.0","10.0","278.66355452998994"
"2082.0","4.0","280.369965616862"
"2053.0","9.0","280.9934143066406"
"2045.0","2.0","277.9913024902344"
"2073.0","2.0","279.0584803989955"
"2073.0","4.0","279.819541422526"
"2032.0","12.0","278.5688998314642"
"2021.0","12.0","278.21236788841986"
"2018.0","8.0","279.8366246377268"
"1980.0","12.0","276.7493217222152"
"2010.0","3.0","276.2208980437248"
"2071.0","8.0","282.0345705093876"
"2069.0","6.0","281.5711680094401"
"1999.0","1.0","276.7251163605721"
"1999.0","10.0","278.3554392168599"
"2067.0","12.0","280.4314191264491"
"2008.0","11.0","277.7748606363932"
"2025.0","4.0","278.10504862467445"
"2040.0","10.0","280.1142292637979"
"2002.0","9.0","279.0422068277995"
"1998.0","8.0","279.38814716954386"
"2055.0","12.0","279.23836984942034"
"2090.0","6.0","282.34238891601564"
"2063.0","8.0","281.9624663322203"
"2000.0","2.0","276.8840637207031"
"1997.0","9.0","278.95448303222656"
"2045.0","9.0","280.47410074869794"
"2059.0","6.0","281.7978912353516"
"2047.0","3.0","278.2396486343876"
"2058.0","6.0","281.9259928385417"
"2030.0","7.0","280.74129461473035"
"2042.0","10.0","279.85042744298136"
"2082.0","9.0","281.5825937906901"
"2065.0","1.0","279.3570743683846"
"1993.0","7.0","279.72871940366684"
"2022.0","4.0","278.62897135416665"
"2084.0","12.0","280.2876370337702"
"2038.0","3.0","277.6143158943422"
"2030.0","9.0","279.98137715657555"
"2088.0","8.0","282.4499019499748"
"2027.0","2.0","277.69159153529574"
"2033.0","8.0","280.7501161636845"
"2084.0","6.0","282.4018208821615"
"2092.0","9.0","281.6550669352213"
"2023.0","8.0","280.29480275800154"
"1990.0","9.0","279.08684794108075"
"2070.0","8.0","281.6700951360887"
"2035.0","12.0","278.73000015751006"
"2008.0","3.0","276.3230708952873"
"1993.0","4.0","276.7503926595052"
"2067.0","10.0","281.0193717710433"
"2073.0","9.0","281.73935852050784"
"2086.0","12.0","280.29540129630794"
"2035.0","9.0","280.3868052164714"
"2041.0","3.0","277.8451734973538"
"2078.0","4.0","280.18349304199216"
"1980.0","9.0","278.313808186849"
"2033.0","9.0","280.2541056315104"
"2045.0","3.0","277.6042175292969"
"2070.0","9.0","281.5491709391276"
"2085.0","2.0","278.99376024518693"
"1996.0","12.0","277.25604051159274"
"2072.0","4.0","280.1774007161458"
"2005.0","4.0","277.43870340983074"
"2044.0","8.0","281.3047564106603"
"2065.0","2.0","278.59037235804965"
"2089.0","9.0","281.4723795572917"
"2064.0","8.0","282.09888384419105"
"2038.0","9.0","280.2212738037109"
"2089.0","10.0","280.93347660187754"
"2096.0","4.0","280.26645711263023"
"2059.0","9.0","281.1106353759766"
"2009.0","7.0","279.98595502299645"
"2091.0","8.0","282.72415456464216"
"2078.0","10.0","280.6317099294355"
"2018.0","12.0","277.71519420992945"
"2096.0","11.0","280.77626647949216"
"2069.0","9.0","281.02724304199216"
"2021.0","7.0","280.6590290684854"
"2078.0","12.0","280.0862535045993"
"2099.0","4.0","280.3334055582682"
"2052.0","10.0","280.353767641129"
"2071.0","7.0","282.3176958637853"
"2073.0","3.0","278.9642107563634"
"2084.0","2.0","279.20862658270477"
"2097.0","6.0","282.2847646077474"
"2097.0","4.0","280.13152872721355"
"2067.0","9.0","281.49933471679685"
"2061.0","8.0","281.8445326282132"
"2014.0","3.0","276.6197942918347"
"2021.0","1.0","277.6659624653478"
"2059.0","7.0","282.0329117313508"
"2076.0","1.0","279.86401071856096"
"2020.0","3.0","276.33458488218247"
"1990.0","8.0","279.76221687563003"
"2015.0","1.0","277.34338674237654"
"2056.0","8.0","280.94230110414566"
"2022.0","2.0","277.26053837367465"
"2025.0","9.0","279.7137898763021"
"2009.0","4.0","277.6008575439453"
"2053.0","4.0","279.2608571370443"
"1980.0","2.0","275.9800236142915"
"1980.0","7.0","279.5656019641507"
"2087.0","8.0","281.77197364068803"
"2042.0","8.0","281.2705570344002"
"2011.0","9.0","279.15684204101564"
"2094.0","9.0","281.5853535970052"
"2002.0","2.0","276.4083578927176"
"1997.0","10.0","278.3125600507182"
