executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
11,0,139,2015-12-28T14:22:33.789GMT,8,33583,56265820,18,110,0,0,2812,195,1,62386
7,0,138,2015-12-28T14:22:33.400GMT,6,166309,272239962,87,217,0,0,2811,780,4,75145
5,0,3,2015-12-28T14:22:03.636GMT,1817,142707,273184986,87,389,0,0,2807,788,4,82653
4,0,368,2015-12-28T14:27:15.373GMT,5,170093,272912496,87,199,0,0,2811,786,4,86359
5,0,369,2015-12-28T14:27:15.408GMT,7,32475,53530261,17,30,0,0,2807,196,1,60513
0,0,366,2015-12-28T14:27:14.891GMT,5,166735,273594690,87,233,0,0,2811,782,4,86023
14,0,367,2015-12-28T14:27:15.067GMT,6,167745,274361312,87,107,0,1,2812,786,4,81289
13,0,364,2015-12-28T14:27:14.863GMT,5,31000,50465273,16,96,0,0,2808,195,1,60334
0,0,365,2015-12-28T14:27:14.870GMT,5,170336,273412085,88,233,0,0,2811,588,3,70747
7,0,362,2015-12-28T14:27:14.553GMT,5,167404,274212968,87,175,0,0,2811,780,4,93179
5,0,363,2015-12-28T14:27:14.605GMT,6,162592,272843940,87,152,0,0,2807,780,4,92386
0,0,360,2015-12-28T14:27:14.192GMT,5,170204,273325350,88,233,0,0,2811,585,3,63920
10,0,361,2015-12-28T14:27:14.411GMT,4,166976,273504548,87,196,0,0,2812,778,4,79380
4,0,380,2015-12-28T14:27:17.924GMT,6,176110,273858218,88,192,0,0,2811,585,3,69471
7,0,381,2015-12-28T14:27:17.993GMT,4,173036,273966909,87,181,0,0,2811,778,4,85287
4,0,382,2015-12-28T14:27:18.021GMT,4,174330,271563597,86,192,0,0,2811,780,4,129790
8,0,383,2015-12-28T14:27:19.051GMT,5,169778,272997277,88,120,0,0,2807,780,4,86000
13,0,384,2015-12-28T14:27:19.869GMT,21,31079,50514363,16,91,0,0,2808,195,1,110474
2,0,385,2015-12-28T14:27:21.139GMT,5,168782,273479016,88,118,0,0,2807,585,3,77194
4,0,386,2015-12-28T14:27:21.553GMT,5,171074,273650126,87,192,0,0,2811,778,4,64106
4,0,387,2015-12-28T14:27:21.959GMT,5,169845,271590078,86,192,0,0,2811,780,4,83646
2,0,388,2015-12-28T14:27:24.211GMT,6,168140,273515718,88,113,0,0,2807,780,4,86276
2,0,389,2015-12-28T14:27:24.466GMT,5,32900,54350647,17,38,0,0,2807,195,1,61852
1,0,60,2015-12-28T14:22:03.669GMT,1110,144090,274137560,88,281,0,0,2811,585,3,66351
