executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
0,0,2607,2015-12-28T15:28:34.023GMT,2,86467,271526987,86,126,0,0,10553,778,4,65376
15,0,2600,2015-12-28T15:28:24.817GMT,3,709049,274190480,87,887,0,0,10554,589,3,70110
8,0,2601,2015-12-28T15:28:26.037GMT,2,102375,274269552,86,114,0,0,10549,780,4,51419
2,0,2602,2015-12-28T15:28:26.289GMT,2,701206,274644183,86,775,0,0,10549,778,4,75696
13,0,2603,2015-12-28T15:28:26.650GMT,3,679697,274050854,86,533,0,0,10550,780,4,64960
3,0,2608,2015-12-28T15:28:37.620GMT,2,99143,274253557,88,87,0,0,10553,780,4,59766
8,0,2609,2015-12-28T15:28:37.899GMT,3,161695,51990131,16,162,0,0,10549,195,1,46568
3,0,1190,2015-12-28T14:54:39.216GMT,3,159733,272260762,85,217,0,0,10553,780,4,95711
9,0,7379,2015-12-28T17:07:32.725GMT,2,20160,65553123,21,7,0,0,10549,195,1,41827
14,0,7378,2015-12-28T17:07:32.269GMT,3,120288,271735520,86,23,0,0,10554,780,4,63981
6,0,7373,2015-12-28T17:07:24.030GMT,2,1137662,274290084,87,337,0,0,10553,780,4,61126
9,0,7372,2015-12-28T17:07:22.485GMT,2,1123306,271618844,85,259,0,0,10549,780,4,65005
5,0,7371,2015-12-28T17:07:16.859GMT,3,89241,274398957,86,161,0,1,10549,778,4,111387
4,0,7370,2015-12-28T17:07:14.931GMT,2,1145766,274331024,87,164,0,0,10553,585,3,51248
14,0,7377,2015-12-28T17:07:31.552GMT,2,1154281,272009680,85,212,0,0,10554,780,4,65970
8,0,7376,2015-12-28T17:07:26.412GMT,2,126648,274648642,86,51,0,0,10549,778,4,65280
15,0,7375,2015-12-28T17:07:26.148GMT,3,117120,274376973,87,22,0,0,10554,585,3,56316
2,0,7374,2015-12-28T17:07:26.074GMT,2,250579,64853663,20,81,0,0,10549,195,1,47598
5,0,1193,2015-12-28T14:54:41.595GMT,4,162995,274061407,85,277,0,0,10549,780,4,94711
13,0,9032,2015-12-28T17:52:14.653GMT,2,163229,273762553,85,138,0,0,10550,780,4,65468
2,0,9033,2015-12-28T17:52:15.047GMT,3,153363,272652581,85,148,0,0,10549,585,3,78407
10,0,9030,2015-12-28T17:52:13.586GMT,2,153506,274232327,86,100,0,0,10554,780,4,66556
6,0,9031,2015-12-28T17:52:14.133GMT,3,268969,273861435,85,257,0,0,10553,778,4,89050
7,0,9036,2015-12-28T17:52:17.025GMT,3,148035,273210618,85,110,0,0,10553,778,4,89983
10,0,9037,2015-12-28T17:52:18.141GMT,2,148101,272865594,85,100,0,0,10554,780,4,92045
6,0,9034,2015-12-28T17:52:15.423GMT,3,43843,76385415,24,47,0,0,10553,390,2,116294
15,0,9035,2015-12-28T17:52:15.905GMT,3,151121,273914601,86,134,0,0,10554,780,4,68842
8,0,7016,2015-12-28T16:54:35.253GMT,3,95022,273813308,86,41,0,1,10549,778,4,69757
10,0,7017,2015-12-28T16:54:35.489GMT,1,895655,274140388,86,662,0,0,10554,780,4,69666
1,0,7014,2015-12-28T16:54:30.901GMT,2,20000,64072878,20,45,0,0,10553,195,1,52724
14,0,7015,2015-12-28T16:54:31.763GMT,2,124953,273978325,87,405,0,0,10554,585,3,61072
11,0,7012,2015-12-28T16:54:26.052GMT,2,850456,274200135,86,427,0,0,10554,780,4,70733
12,0,5453,2015-12-28T16:25:18.245GMT,3,168336,271604614,87,375,0,0,10550,780,4,78998
15,0,7010,2015-12-28T16:54:25.824GMT,2,88011,274203646,87,39,0,0,10554,585,3,58363
1,0,7011,2015-12-28T16:54:25.927GMT,3,83121,274181988,86,172,0,0,10553,778,4,71440
7,0,753,2015-12-28T14:46:43.809GMT,4,167094,272281735,87,188,0,0,10553,585,3,75801
3,0,752,2015-12-28T14:46:43.458GMT,4,168980,274006295,87,166,0,1,10553,780,4,84936
0,0,751,2015-12-28T14:46:40.140GMT,4,164764,273620188,87,168,0,0,10553,778,4,75742
11,0,750,2015-12-28T14:46:38.354GMT,4,172254,273742257,88,175,0,0,10554,780,4,89468
8,0,757,2015-12-28T14:46:50.185GMT,4,166323,272626471,86,128,0,0,10549,585,3,72150
9,0,756,2015-12-28T14:46:48.316GMT,5,165271,274508032,87,229,0,0,10549,778,4,82756
8,0,755,2015-12-28T14:46:47.192GMT,5,169795,274103344,88,134,0,0,10549,780,4,91308
4,0,754,2015-12-28T14:46:44.917GMT,5,30011,49790034,16,25,0,1,10553,390,2,84125
9,0,9157,2015-12-28T17:54:30.773GMT,3,118010,272816375,85,107,0,0,10549,585,3,73956
12,0,759,2015-12-28T14:46:51.375GMT,5,30563,52176533,16,22,0,0,10550,390,2,84242
2,0,758,2015-12-28T14:46:50.229GMT,5,170351,274479702,88,163,0,0,10549,585,3,67884
14,0,1805,2015-12-28T15:05:53.344GMT,3,362455,272201784,86,488,0,0,10554,585,3,56166
14,0,3781,2015-12-28T15:54:08.728GMT,3,138097,274075774,85,293,0,0,10554,778,4,64562
8,0,2958,2015-12-28T15:38:36.169GMT,2,127235,274375775,88,184,0,0,10549,780,4,88860
6,0,2959,2015-12-28T15:38:37.282GMT,3,19939,52032123,16,26,0,0,10553,390,2,119511
7,0,2954,2015-12-28T15:38:31.020GMT,2,22877,51379103,16,23,0,0,10553,390,2,121533
2,0,5455,2015-12-28T16:25:21.334GMT,3,167320,271907826,87,315,0,0,10549,585,3,78616
14,0,2956,2015-12-28T15:38:31.998GMT,3,119132,271655205,86,113,0,0,10554,780,4,82824
3,0,2957,2015-12-28T15:38:33.355GMT,2,105832,272349546,87,109,0,0,10553,778,4,69476
10,0,2950,2015-12-28T15:38:27.601GMT,3,137742,274214989,88,183,0,0,10554,585,3,49820
0,0,2951,2015-12-28T15:38:28.408GMT,3,121405,274505101,87,167,0,0,10553,780,4,75876
0,0,2952,2015-12-28T15:38:29.229GMT,3,117721,272225754,86,167,0,0,10553,778,4,64580
14,0,3787,2015-12-28T15:54:20.190GMT,3,132408,271859074,85,229,0,0,10554,588,3,51600
12,0,1025,2015-12-28T14:51:38.513GMT,4,160753,272224917,85,271,0,0,10550,780,4,84444
0,0,1024,2015-12-28T14:51:38.277GMT,5,48375,80082916,25,108,0,0,10553,390,2,67189
0,0,5346,2015-12-28T16:23:23.785GMT,3,167026,272594581,85,449,0,0,10553,583,3,65418
3,0,1026,2015-12-28T14:51:39.087GMT,4,159273,272990727,85,186,0,0,10553,778,4,81134
11,0,1021,2015-12-28T14:51:37.333GMT,3,158928,272069682,84,172,0,0,10554,778,4,92958
8,0,5341,2015-12-28T16:23:20.406GMT,3,163339,272495939,85,398,0,0,10549,583,3,60528
10,0,5342,2015-12-28T16:23:21.594GMT,4,164822,273119753,85,396,0,0,10554,778,4,93590
4,0,1022,2015-12-28T14:51:37.653GMT,3,158971,272368874,85,220,0,0,10553,780,4,85462
4,0,1800,2015-12-28T15:05:48.046GMT,3,135018,271744872,86,187,0,0,10553,585,3,74157
1,0,5348,2015-12-28T16:23:25.631GMT,3,164732,272894280,85,398,0,0,10553,780,4,92308
3,0,1028,2015-12-28T14:51:39.928GMT,4,158985,273703299,85,186,0,0,10553,585,3,74599
6,0,3323,2015-12-28T15:45:31.698GMT,3,152761,272994140,86,217,0,0,10553,585,3,91767
0,0,1197,2015-12-28T14:54:44.110GMT,3,163233,272656086,85,194,0,1,10553,585,3,73908
11,0,8990,2015-12-28T17:51:31.804GMT,3,160415,273628271,86,145,0,0,10554,780,4,76458
12,0,4365,2015-12-28T16:05:12.981GMT,3,161936,273472967,86,231,0,0,10550,780,4,89105
6,0,4364,2015-12-28T16:05:11.463GMT,3,45720,75761985,24,113,0,0,10553,390,2,127614
3,0,4367,2015-12-28T16:05:16.963GMT,3,162394,272176005,85,345,0,0,10553,585,3,73660
6,0,3789,2015-12-28T15:54:20.919GMT,3,30690,73857497,23,30,0,0,10553,392,2,64331
15,0,4361,2015-12-28T16:05:09.830GMT,3,166871,274141481,85,310,0,0,10554,583,3,72612
8,0,4360,2015-12-28T16:05:09.722GMT,3,164904,274499815,86,297,0,0,10549,780,4,88571
2,0,4363,2015-12-28T16:05:11.373GMT,2,171708,272314446,85,395,0,0,10549,780,4,86762
11,0,4362,2015-12-28T16:05:11.027GMT,3,169970,273772045,85,271,0,0,10554,585,3,51667
15,0,4369,2015-12-28T16:05:18.035GMT,3,46633,74707293,23,72,0,1,10554,390,2,78359
11,0,4368,2015-12-28T16:05:17.994GMT,3,162298,274275912,86,271,0,0,10554,780,4,79486
7,0,1809,2015-12-28T15:05:57.276GMT,4,33757,72803547,23,39,0,0,10553,195,1,102614
2,0,1808,2015-12-28T15:05:54.826GMT,3,366299,272560026,86,549,0,0,10549,780,4,86810
7,0,3108,2015-12-28T15:41:27.220GMT,3,168329,272503485,86,333,0,0,10553,780,4,91175
12,0,3109,2015-12-28T15:41:27.318GMT,3,42403,69385568,22,87,0,0,10550,195,1,102618
2,0,3104,2015-12-28T15:41:23.027GMT,3,41932,67937319,21,51,0,1,10549,195,1,102032
3,0,3105,2015-12-28T15:41:23.440GMT,3,160233,272083078,86,242,0,0,10553,780,4,85481
15,0,3106,2015-12-28T15:41:25.799GMT,3,143439,273555350,86,225,0,0,10554,778,4,90800
12,0,3107,2015-12-28T15:41:26.618GMT,3,159892,272054178,85,233,0,0,10550,780,4,84137
2,0,3100,2015-12-28T15:41:20.584GMT,3,161012,271896695,86,259,0,0,10549,780,4,90565
14,0,3101,2015-12-28T15:41:22.249GMT,4,165067,272843914,86,236,0,0,10554,778,4,80808
5,0,3102,2015-12-28T15:41:22.542GMT,3,161700,273930899,86,350,0,0,10549,780,4,84266
13,0,3103,2015-12-28T15:41:22.889GMT,4,162918,274081034,86,302,0,0,10550,780,4,82318
5,0,8673,2015-12-28T17:45:40.606GMT,3,166586,272719981,87,116,0,0,10549,780,4,91928
4,0,8672,2015-12-28T17:45:38.258GMT,3,167485,273856350,87,144,0,0,10553,780,4,86284
6,0,8671,2015-12-28T17:45:38.243GMT,3,166393,273348946,87,141,0,0,10553,778,4,91069
11,0,8670,2015-12-28T17:45:38.225GMT,3,170125,273778739,88,147,0,0,10554,780,4,87652
0,0,5,2015-12-28T14:34:41.728GMT,1938,144214,271941516,85,391,0,1,10553,780,4,74804
5,0,8676,2015-12-28T17:45:43.611GMT,3,165291,273556858,87,116,0,0,10549,778,4,97222
